id,user_id,scenario_type,actor_id,actor_name,place_point_name,activation_count,start_datetime,end_datetime
0,"AA","S1_BasicMechanics","2","TrafficCone_6","BP_PlacePoint","4","2024-10-22 13:53:34.803","2024-10-22 13:53:34.804"
1,"AA","S1_BasicMechanics","2","TrafficCone_5","BP_PlacePoint4","6","2024-10-22 13:53:39.969","2024-10-22 13:53:39.969"
2,"AA","S1_BasicMechanics","2","TrafficCone_1","BP_PlacePoint3","8","2024-10-22 13:53:44.754","2024-10-22 13:53:48.843"
3,"AA","S1_BasicMechanics","2","TrafficCone_8","BP_PlacePoint5","9","2024-10-22 13:53:50.29","2024-10-22 13:53:50.29"
4,"AA","S1_BasicMechanics","3","Dosimeter_SABG100_3","BP_PlacePoint6","4","2024-10-22 13:54:10.510","2024-10-22 13:54:10.510"
5,"AA","S1_BasicMechanics","4","Dosimeter_EPD_2","BP_PlacePoint10","4","2024-10-22 13:54:13.10","2024-10-22 13:54:13.10"
6,"AA","S1_BasicMechanics","4","Dosimeter_EPD_1","BP_PlacePoint9","6","2024-10-22 13:54:26.589","2024-10-22 13:54:26.589"
7,"AA","S1_BasicMechanics","3","Dosimeter_SABG100_1","BP_PlacePoint8","6","2024-10-22 13:54:28.609","2024-10-22 13:54:28.609"
8,"AA","S1_BasicMechanics","3","Dosimeter_SABG100_4","BP_PlacePoint7","8","2024-10-22 13:54:39.374","2024-10-22 13:54:39.375"
9,"AA","S1_BasicMechanics","2","TrafficCone_4","BP_PlacePoint2","11","2024-10-22 13:54:57.787","2024-10-22 13:54:57.787"