id,user_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,"AB","T1_BasicMechanics","MOV_VirtualWorld","started","2024-10-25 13:43:45.198"
1,"AB","T1_BasicMechanics","MOV_VirtualWorld","completed","2024-10-25 13:43:50.480"
2,"AB","T1_BasicMechanics","OI_Detection","started","2024-10-25 13:44:18.224"
3,"AB","T1_BasicMechanics","OI_Detection","completed","2024-10-25 13:44:26.264"
4,"AB","T1_BasicMechanics","OI_GrabRelease","started","2024-10-25 13:44:42.388"
5,"AB","T1_BasicMechanics","OI_GrabRelease","completed","2024-10-25 13:44:48.508"
6,"AB","T1_BasicMechanics","OI_Placement","started","2024-10-25 13:45:16.527"
7,"AB","T1_BasicMechanics","OI_Placement","completed","2024-10-25 13:45:32.734"
8,"AB","T1_BasicMechanics","CI_Conversation","started","2024-10-25 13:45:48.406"
9,"AB","T1_BasicMechanics","CI_Conversation","completed","2024-10-25 13:46:13.599"