,user_id,experiment_id,scenario_type,actor_id,actor_name,event_type,hand,event_datetime
0,AB,1,T1,3,Dosimeter_SABG100_1,start_detection,Left,2024-10-25 13:44:10.343
1,AB,1,T1,3,Dosimeter_SABG100_1,grab,Left,2024-10-25 13:44:10.699
2,AB,1,T1,3,Dosimeter_SABG100_1,stop_detection,Left,2024-10-25 13:44:10.710
3,AB,1,T1,3,Dosimeter_SABG100_1,release,Left,2024-10-25 13:44:11.892
4,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:14.214
5,AB,1,T1,9,Clamps_1,grab,Right,2024-10-25 13:44:14.529
6,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:14.539
7,AB,1,T1,9,Clamps_1,release,Right,2024-10-25 13:44:16.042
8,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:16.545
9,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:16.573
10,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:19.601
11,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:19.710
12,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:20.699
13,AB,1,T1,9,Clamps_1,grab,Right,2024-10-25 13:44:20.834
14,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:20.845
15,AB,1,T1,9,Clamps_1,release,Right,2024-10-25 13:44:21.680
16,AB,1,T1,4,Dosimeter_EPD_1,start_detection,Right,2024-10-25 13:44:23.907
17,AB,1,T1,4,Dosimeter_EPD_1,grab,Right,2024-10-25 13:44:24.125
18,AB,1,T1,4,Dosimeter_EPD_1,stop_detection,Right,2024-10-25 13:44:24.135
19,AB,1,T1,4,Dosimeter_EPD_1,release,Right,2024-10-25 13:44:26.196
20,AB,1,T1,3,Dosimeter_SABG100_1,start_detection,Left,2024-10-25 13:44:26.283
21,AB,1,T1,3,Dosimeter_SABG100_1,grab,Left,2024-10-25 13:44:26.529
22,AB,1,T1,3,Dosimeter_SABG100_1,stop_detection,Left,2024-10-25 13:44:26.539
23,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:26.878
24,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:27.310
25,AB,1,T1,3,Dosimeter_SABG100_1,release,Left,2024-10-25 13:44:27.426
26,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:28.617
27,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:29.296
28,AB,1,T1,3,Dosimeter_SABG100_3,start_detection,Right,2024-10-25 13:44:44.115
29,AB,1,T1,3,Dosimeter_SABG100_3,grab,Right,2024-10-25 13:44:44.222
30,AB,1,T1,3,Dosimeter_SABG100_3,stop_detection,Right,2024-10-25 13:44:44.233
31,AB,1,T1,3,Dosimeter_SABG100_3,release,Right,2024-10-25 13:44:44.581
32,AB,1,T1,9,Clamps_2,start_detection,Right,2024-10-25 13:44:45.988
33,AB,1,T1,9,Clamps_2,grab,Right,2024-10-25 13:44:46.024
34,AB,1,T1,9,Clamps_2,stop_detection,Right,2024-10-25 13:44:46.034
35,AB,1,T1,9,Clamps_2,release,Right,2024-10-25 13:44:46.399
36,AB,1,T1,4,Dosimeter_EPD_2,start_detection,Right,2024-10-25 13:44:48.336
37,AB,1,T1,4,Dosimeter_EPD_2,grab,Right,2024-10-25 13:44:48.528
38,AB,1,T1,4,Dosimeter_EPD_2,stop_detection,Right,2024-10-25 13:44:48.538
39,AB,1,T1,4,Dosimeter_EPD_2,release,Right,2024-10-25 13:44:49.025
40,AB,1,T1,9,Clamps_2,start_detection,Right,2024-10-25 13:44:51.476
41,AB,1,T1,9,Clamps_2,grab,Right,2024-10-25 13:44:51.597
42,AB,1,T1,9,Clamps_2,stop_detection,Right,2024-10-25 13:44:51.609
43,AB,1,T1,9,Clamps_2,release,Right,2024-10-25 13:44:52.706
44,AB,1,T1,3,Dosimeter_SABG100_2,start_detection,Right,2024-10-25 13:45:21.252
45,AB,1,T1,3,Dosimeter_SABG100_2,grab,Right,2024-10-25 13:45:21.428
46,AB,1,T1,3,Dosimeter_SABG100_2,stop_detection,Right,2024-10-25 13:45:21.439
47,AB,1,T1,3,Dosimeter_SABG100_2,release,Right,2024-10-25 13:45:25.032
48,AB,1,T1,2,TrafficCone_5,start_detection,Right,2024-10-25 13:45:28.181
49,AB,1,T1,2,TrafficCone_5,grab,Right,2024-10-25 13:45:28.384
50,AB,1,T1,2,TrafficCone_5,stop_detection,Right,2024-10-25 13:45:28.395
51,AB,1,T1,2,TrafficCone_5,release,Right,2024-10-25 13:45:32.755
52,AB,1,S1,2,TrafficCone_3,start_detection,Right,2024-10-25 13:47:50.249
53,AB,1,S1,2,TrafficCone_3,grab,Right,2024-10-25 13:47:50.545
54,AB,1,S1,2,TrafficCone_3,stop_detection,Right,2024-10-25 13:47:50.556
55,AB,1,S1,2,TrafficCone_3,start_detection,Left,2024-10-25 13:47:50.996
56,AB,1,S1,2,TrafficCone_3,stop_detection,Left,2024-10-25 13:47:52.540
57,AB,1,S1,2,TrafficCone_3,start_detection,Left,2024-10-25 13:47:52.836
58,AB,1,S1,2,TrafficCone_3,release,Right,2024-10-25 13:47:54.776
59,AB,1,S1,2,TrafficCone_3,stop_detection,Left,2024-10-25 13:47:54.789
60,AB,1,S1,2,TrafficCone_1,start_detection,Right,2024-10-25 13:48:01.080
61,AB,1,S1,2,TrafficCone_1,grab,Right,2024-10-25 13:48:01.222
62,AB,1,S1,2,TrafficCone_1,stop_detection,Right,2024-10-25 13:48:01.232
63,AB,1,S1,2,TrafficCone_1,start_detection,Left,2024-10-25 13:48:01.576
64,AB,1,S1,2,TrafficCone_1,stop_detection,Left,2024-10-25 13:48:01.704
65,AB,1,S1,2,TrafficCone_1,start_detection,Left,2024-10-25 13:48:03.071
66,AB,1,S1,2,TrafficCone_1,stop_detection,Left,2024-10-25 13:48:03.448
67,AB,1,S1,2,TrafficCone_1,release,Right,2024-10-25 13:48:03.496
68,AB,1,S1,2,TrafficCone_5,start_detection,Left,2024-10-25 13:48:08.324
69,AB,1,S1,2,TrafficCone_5,grab,Left,2024-10-25 13:48:08.413
70,AB,1,S1,2,TrafficCone_5,stop_detection,Left,2024-10-25 13:48:08.423
71,AB,1,S1,2,TrafficCone_5,release,Left,2024-10-25 13:48:11.723
72,AB,1,S1,2,TrafficCone_4,start_detection,Left,2024-10-25 13:48:16.793
73,AB,1,S1,2,TrafficCone_4,grab,Left,2024-10-25 13:48:17.038
74,AB,1,S1,2,TrafficCone_4,stop_detection,Left,2024-10-25 13:48:17.048
75,AB,1,S1,2,TrafficCone_4,release,Left,2024-10-25 13:48:20.196
76,AB,1,S1,2,TrafficCone_2,start_detection,Right,2024-10-25 13:48:27.155
77,AB,1,S1,2,TrafficCone_2,grab,Right,2024-10-25 13:48:27.446
78,AB,1,S1,2,TrafficCone_2,stop_detection,Right,2024-10-25 13:48:27.457
79,AB,1,S1,2,TrafficCone_2,start_detection,Left,2024-10-25 13:48:27.987
80,AB,1,S1,2,TrafficCone_2,stop_detection,Left,2024-10-25 13:48:28.142
81,AB,1,S1,2,TrafficCone_2,release,Right,2024-10-25 13:48:30.863
82,AB,1,S1,3,Dosimeter_SABG100_4,start_detection,Right,2024-10-25 13:48:34.818
83,AB,1,S1,3,Dosimeter_SABG100_4,grab,Right,2024-10-25 13:48:34.879
84,AB,1,S1,3,Dosimeter_SABG100_4,stop_detection,Right,2024-10-25 13:48:34.889
85,AB,1,S1,3,Dosimeter_SABG100_1,start_detection,Left,2024-10-25 13:48:41.666
86,AB,1,S1,3,Dosimeter_SABG100_1,grab,Left,2024-10-25 13:48:41.699
87,AB,1,S1,3,Dosimeter_SABG100_1,stop_detection,Left,2024-10-25 13:48:41.709
88,AB,1,S1,3,Dosimeter_SABG100_4,release,Right,2024-10-25 13:48:46.865
89,AB,1,S1,3,Dosimeter_SABG100_1,release,Left,2024-10-25 13:48:48.092
90,AB,1,S1,3,Dosimeter_SABG100_3,start_detection,Right,2024-10-25 13:48:50.992
91,AB,1,S1,3,Dosimeter_SABG100_3,grab,Right,2024-10-25 13:48:51.253
92,AB,1,S1,3,Dosimeter_SABG100_3,stop_detection,Right,2024-10-25 13:48:51.262
93,AB,1,S1,3,Dosimeter_SABG100_3,release,Right,2024-10-25 13:48:53.975
94,AB,1,S1,4,Dosimeter_EPD_2,start_detection,Right,2024-10-25 13:48:56.739
95,AB,1,S1,4,Dosimeter_EPD_2,stop_detection,Right,2024-10-25 13:48:56.768
96,AB,1,S1,4,Dosimeter_EPD_2,start_detection,Right,2024-10-25 13:48:56.902
97,AB,1,S1,4,Dosimeter_EPD_2,grab,Right,2024-10-25 13:48:57.077
98,AB,1,S1,4,Dosimeter_EPD_2,stop_detection,Right,2024-10-25 13:48:57.089
99,AB,1,S1,4,Dosimeter_EPD_2,release,Right,2024-10-25 13:49:02.203
100,AB,1,S1,4,Dosimeter_EPD_1,start_detection,Right,2024-10-25 13:49:05.967
101,AB,1,S1,4,Dosimeter_EPD_1,stop_detection,Right,2024-10-25 13:49:05.995
102,AB,1,S1,4,Dosimeter_EPD_1,start_detection,Right,2024-10-25 13:49:06.020
103,AB,1,S1,4,Dosimeter_EPD_1,grab,Right,2024-10-25 13:49:06.079
104,AB,1,S1,4,Dosimeter_EPD_1,stop_detection,Right,2024-10-25 13:49:06.089
105,AB,1,S1,4,Dosimeter_EPD_1,release,Right,2024-10-25 13:49:09.620
106,AB,1,T2,5,WalkieTalkie_1,start_detection,Right,2024-10-25 13:51:35.441
107,AB,1,T2,5,WalkieTalkie_1,grab,Right,2024-10-25 13:51:35.751
108,AB,1,T2,5,WalkieTalkie_1,stop_detection,Right,2024-10-25 13:51:35.775
109,AB,1,T2,5,WalkieTalkie_1,release,Right,2024-10-25 13:52:13.895
110,AB,1,T2,5,WalkieTalkie_1,start_detection,Right,2024-10-25 13:52:14.365
111,AB,1,T2,5,WalkieTalkie_1,stop_detection,Right,2024-10-25 13:52:14.406
112,AB,1,T2,3,Dosimeter_SABG100_3,start_detection,Right,2024-10-25 13:52:40.216
113,AB,1,T2,3,Dosimeter_SABG100_3,grab,Right,2024-10-25 13:52:40.687
114,AB,1,T2,3,Dosimeter_SABG100_3,stop_detection,Right,2024-10-25 13:52:40.710
115,AB,1,T2,3,Dosimeter_SABG100_3,release,Right,2024-10-25 13:53:16.540
116,AB,1,T2,4,Dosimeter_EPD_3,start_detection,Right,2024-10-25 13:53:43.048
117,AB,1,T2,4,Dosimeter_EPD_3,grab,Right,2024-10-25 13:53:43.347
118,AB,1,T2,4,Dosimeter_EPD_3,stop_detection,Right,2024-10-25 13:53:43.368
119,AB,1,T2,4,Dosimeter_EPD_3,release,Right,2024-10-25 13:54:04.122
120,AB,1,T2,4,Dosimeter_EPD_1,start_detection,Right,2024-10-25 13:54:04.156
121,AB,1,T2,4,Dosimeter_EPD_1,stop_detection,Right,2024-10-25 13:54:04.329
122,AB,1,S2,5,BP_WalkieTalkie_C_0,start_detection,Right,2024-10-25 13:56:41.026
123,AB,1,S2,5,BP_WalkieTalkie_C_0,grab,Right,2024-10-25 13:56:41.404
124,AB,1,S2,5,BP_WalkieTalkie_C_0,stop_detection,Right,2024-10-25 13:56:41.421
125,AB,1,S2,5,BP_WalkieTalkie_C_0,release,Right,2024-10-25 13:57:39.542
126,AB,1,S2,4,BP_Dosimeter_EPD_C_0,start_detection,Left,2024-10-25 13:57:44.306
127,AB,1,S2,4,BP_Dosimeter_EPD_C_0,grab,Left,2024-10-25 13:57:44.668
128,AB,1,S2,4,BP_Dosimeter_EPD_C_0,stop_detection,Left,2024-10-25 13:57:44.684
129,AB,1,S2,2,BP_TrafficCone_C_0,start_detection,Right,2024-10-25 14:00:34.257
130,AB,1,S2,2,BP_TrafficCone_C_0,grab,Right,2024-10-25 14:00:34.579
131,AB,1,S2,2,BP_TrafficCone_C_0,stop_detection,Right,2024-10-25 14:00:34.600
132,AB,1,S2,2,BP_TrafficCone_C_0,release,Right,2024-10-25 14:00:41.047
133,AB,1,S2,2,BP_TrafficCone_C_1,start_detection,Right,2024-10-25 14:00:48.981
134,AB,1,S2,2,BP_TrafficCone_C_1,grab,Right,2024-10-25 14:00:49.221
135,AB,1,S2,2,BP_TrafficCone_C_1,stop_detection,Right,2024-10-25 14:00:49.243
136,AB,1,S2,2,BP_TrafficCone_C_1,release,Right,2024-10-25 14:00:54.083
137,AB,1,S2,3,BP_Dosimeter_SABG100_C_0,start_detection,Right,2024-10-25 14:01:08.062
138,AB,1,S2,3,BP_Dosimeter_SABG100_C_0,grab,Right,2024-10-25 14:01:08.409
139,AB,1,S2,3,BP_Dosimeter_SABG100_C_0,stop_detection,Right,2024-10-25 14:01:08.432
140,AB,1,S2,3,BP_Dosimeter_SABG100_C_0,release,Right,2024-10-25 14:01:38.103
141,AB,1,S2,5,BP_WalkieTalkie_C_1,start_detection,Right,2024-10-25 14:01:44.897
142,AB,1,S2,5,BP_WalkieTalkie_C_1,grab,Right,2024-10-25 14:01:45.220
143,AB,1,S2,5,BP_WalkieTalkie_C_1,stop_detection,Right,2024-10-25 14:01:45.242
144,AB,1,S2,5,BP_WalkieTalkie_C_1,release,Right,2024-10-25 14:02:53.296
145,AB,1,S2,4,BP_Dosimeter_EPD_C_0,release,Left,2024-10-25 14:02:53.375
